Id,SalePrice
1,208280.92
2,171110.19
3,211338.86
4,158082.94
5,298535.22
6,144531.67
7,252964.06
8,211054.88
9,155755.47
10,133184.17
11,139197.4
12,341988.28
13,150735.9
14,225136.52
15,162912.97
16,140351.78
17,175447.02
18,108330.25
19,134429.23
20,133364.53
21,334590.6
22,158460.75
23,250002.14
24,141322.33
25,136778.6
26,323183.6
27,123729.67
28,275051.53
29,172446.14
30,90303.37
31,68319.53
32,131170.36
33,253251.8
34,132513.06
35,314382.56
36,312555.4
37,138356.73
38,135482.42
39,121806.414
40,106545.914
41,159975.67
42,162776.92
43,147595.7
44,137676.77
45,130585.47
46,330184.8
47,216467.66
48,260400.83
49,99988.48
50,127609.71
51,200969.55
52,122810.36
53,129166.664
54,359417.25
55,127149.55
56,165370.42
57,185176.53
58,226535.81
59,408363.78
60,123729.67
61,161922.11
62,136997.9
63,235224.4
64,167666.88
65,218478.17
66,280402.9
67,231963.72
68,204202.9
69,84099.15
70,231690.23
71,223255.64
72,127457.68
73,212816.53
74,150130.48
75,92295.65
76,81115.86
77,122463.695
78,109945.586
79,108292.44
80,128539.336
81,205162.12
82,153110.69
83,272056.62
84,127499.87
85,172802.89
86,250433.83
87,175234.47
88,152088.9
89,84250.39
90,104363.22
91,112841.58
92,92124.516
93,156360.9
94,130097.58
95,182587.5
96,175441.83
97,212389.52
98,123072.875
99,116800.03
100,125785.7
101,179738.03
102,178006.77
103,131416.14
104,210478.19
105,184177.92
106,265520.6
107,102802.336
108,114940.414
109,135846.5
110,174597.4
111,129216.44
112,171505.55
113,255327.9
114,185510.78
115,194772.6
116,145398.22
117,140801.3
118,129723.05
119,245031.31
120,176552.62
121,198992.78
122,101942.12
123,167533.89
124,136260.28
125,181013.56
126,101790.47
127,150660.16
128,99157.1
129,174020.58
130,133153.81
131,247637.53
132,196241.81
133,135955.25
134,231891.83
135,145294.12
136,200077.25
137,134781.88
138,169212.52
139,238951.45
140,202928.61
141,121239.92
142,211626.88
143,113996.78
144,212389.52
145,128994.69
146,141447.05
147,104456.12
148,218478.17
149,180246.83
150,115548.85
151,139157.06
152,347085.38
153,208025.83
154,200752.9
155,147813.19
156,126183.4
157,123729.67
158,277658.84
159,255183.56
160,247943.31
161,163131.25
162,400162.56
163,234272.94
164,92935.305
165,137284.86
166,132990.36
167,132380.31
168,295294.47
169,194421.47
170,268021.97
171,145436.64
172,208102.23
173,202903.25
174,160028.17
175,169483.84
176,188415.81
177,185373.72
178,145223.06
179,456075.38
180,99788.71
181,154307.58
182,178165.39
183,112764.66
184,187749.28
185,141216.44
186,483908.88
187,184183.72
188,137073.58
189,131416.14
190,239152.06
191,284830.03
192,211934.27
193,193810.38
194,149887.56
195,121632.06
196,145207.27
197,218965.44
198,237523.72
199,140461.31
200,266710.34
201,124878.38
202,161676.45
203,128295.99
204,148317.88
205,112081.164
206,203136.38
207,146009.06
208,130912.664
209,242628.55
210,151387.22
211,95272.15
212,164639.47
213,219183.98
214,149156.05
215,192574.84
216,139749.81
217,194426.11
218,100350.92
219,268092.25
220,177029.08
221,199811.44
222,180233.42
223,181011.5
224,126777.83
225,468512.25
226,98193.28
227,236149.1
228,110742.305
229,128177.24
230,178677.22
231,153077.1
232,256098.78
233,100514.23
234,140073.25
235,178325.86
236,90324.21
237,194126.14
238,218555.48
239,294180.53
240,109414.74
241,230203.55
242,101689.17
243,89005.98
244,142883.78
245,214068.39
246,200801.92
247,140911.19
248,162350.89
249,215948.06
250,251552.14
251,73080.98
252,240980.42
253,172327.94
254,172818.55
255,133867.98
256,213974.1
257,182232.44
258,194162.42
259,228678.0
260,134093.77
261,175965.62
262,267722.3
263,159278.14
264,114004.06
265,85473.49
266,169425.83
267,179038.33
268,144446.38
269,117498.3
270,150463.16
271,271002.94
272,263130.62
273,294329.8
274,157188.61
275,130449.8
276,177321.9
277,201553.42
278,137622.4
279,438376.7
280,228202.19
281,228574.22
282,132559.45
283,189616.53
284,248207.11
285,156638.22
286,169721.61
287,162251.2
288,95008.56
289,134882.69
290,151848.47
291,247491.62
292,116433.36
293,128123.71
294,242314.98
295,157175.56
296,140865.38
297,140916.97
298,212466.9
299,182074.88
300,226509.67
301,137271.38
302,301489.34
303,226589.83
304,143317.9
305,290576.62
306,259755.2
307,231721.17
308,143123.4
309,112058.29
310,352775.2
311,174500.2
312,136445.6
313,122675.51
314,325254.28
315,168611.5
316,203197.98
317,253885.36
318,248701.61
319,240710.08
320,219945.97
321,369870.3
322,338868.0
323,228221.12
324,120960.9
325,222088.1
326,98674.11
327,233797.31
328,160020.08
329,170712.48
330,110756.56
331,143216.8
332,131536.14
333,261876.39
334,184926.28
335,162524.39
336,222342.62
337,362855.44
338,204132.62
339,240768.62
340,175072.61
341,287110.25
342,85992.43
343,90923.75
344,300686.78
345,95231.91
346,135300.5
347,171520.27
348,185014.14
349,163754.27
350,449505.84
351,305848.62
352,194685.12
353,112640.41
354,117411.266
355,124932.7
356,172980.47
357,163564.47
358,125657.77
359,126525.625
360,297012.25
361,152424.47
362,128606.66
363,176175.86
364,111881.56
365,206699.88
366,148453.02
367,160066.94
368,158777.66
369,141681.97
370,146305.97
371,180233.42
372,122223.23
373,146656.33
374,144683.23
375,210056.48
376,65489.395
377,125703.56
378,307532.47
379,342774.22
380,157943.7
381,111269.19
382,172865.36
383,226000.88
384,83760.09
385,246373.03
386,205718.75
387,88475.516
388,143392.97
389,212165.62
390,409669.75
391,122938.555
392,192694.25
393,126501.86
394,88004.84
395,125925.414
396,130581.61
397,118584.86
398,146477.83
399,68741.67
400,212861.98
401,268895.0
402,194126.14
403,120146.45
404,306257.25
405,180001.52
406,119699.84
407,140991.17
408,203849.38
409,259481.11
410,266532.88
411,76338.125
412,148244.9
413,171598.81
414,101416.26
415,207410.75
416,199811.44
417,173996.19
418,231133.42
419,124118.02
420,129744.695
421,171889.7
422,215635.45
423,148173.66
424,267817.8
425,154488.25
426,142663.61
427,199752.19
428,127493.305
429,192552.44
430,166057.1
431,100514.23
432,117312.44
433,113041.59
434,178894.78
435,92415.26
436,216383.66
437,134986.92
438,119061.14
439,93972.71
440,138160.14
441,465103.94
442,113243.16
443,117564.66
444,188915.3
445,213125.05
446,162275.34
447,202838.25
448,216759.56
449,129840.51
450,109947.58
451,109090.39
452,275680.47
453,183523.05
454,248701.61
455,139930.12
456,197681.97
457,106029.664
458,218261.39
459,209244.12
460,121727.33
461,250082.75
462,167876.62
463,102946.37
464,180460.8
465,113348.07
466,181046.19
467,208581.47
468,153728.27
469,275051.53
470,180640.89
471,232265.66
472,219647.89
473,140187.52
474,336550.1
475,230162.28
476,136665.67
477,176758.66
478,439141.2
479,270912.75
480,88269.7
481,359897.1
482,346520.16
483,141467.28
484,153110.69
485,132908.2
486,143458.75
487,152776.67
488,146209.16
489,143939.1
490,88515.52
491,126996.01
492,158540.56
493,199151.88
494,130328.805
495,96411.01
496,60095.16
497,287514.12
498,173060.34
499,132271.66
500,134615.66
501,100648.516
502,224041.39
503,138528.89
504,286958.88
505,142484.95
506,132958.9
507,265668.0
508,164970.8
509,171788.9
510,137218.89
511,162820.08
512,184643.44
513,125755.484
514,161202.72
515,111437.3
516,383920.88
517,161659.5
518,217309.52
519,178310.22
520,189307.38
521,125022.69
522,166862.6
523,132573.36
524,211536.67
525,237638.6
526,179920.69
527,158026.88
528,398725.28
529,90152.18
530,189472.64
531,155291.08
532,126023.93
533,123729.67
534,41743.19
535,242468.23
536,118270.99
537,198000.45
538,130912.664
539,140801.3
540,264856.97
541,337649.56
